Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Origen
BARCELONA-EL PRAT J.T.;BCN;  X    ;2022-03-02;2022-03-23;13:20;320;  VLG2473;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;      D;2022-03-06;2022-03-13;13:25;320;  VLG2473;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;     S ;2022-03-05;2022-03-26;17:30;320;  VLG2473;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;    V  ;2022-03-04;2022-03-11;17:45;320;  VLG2491;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;    V  ;2021-12-31;2022-03-25;18:40;73H;  RYR8964;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;L      ;2021-12-06;2022-03-21;19:55;73H;  RYR8964;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;      D;2022-03-06;2022-03-20;20:20;320;  VLG2477;ESPANIA;ACE
BASEL/MULHOUSE EUROAIRPORT CH;BSL;  X    ;2022-02-09;2022-03-23;17:25;320;  EZS1250;SUIZA;ACE
BASEL/MULHOUSE EUROAIRPORT CH;BSL;     S ;2022-02-26;2022-03-26;17:25;320;  EZS1250;SUIZA;ACE
BELFAST / INTERNACIONAL;BFS;   J  D;2021-11-04;2022-03-24;13:50;73H;  EXS310;REINO-UNIDO;ACE
BELFAST / INTERNACIONAL;BFS; M     ;2022-01-18;2022-03-22;13:50;73H;  EXS310;REINO-UNIDO;ACE
BELFAST / INTERNACIONAL;BFS; M     ;2021-11-02;2022-03-22;18:30;320;  EZY6732;REINO-UNIDO;ACE
BELFAST / INTERNACIONAL;BFS;     S ;2022-01-01;2022-03-26;20:10;320;  EZY6732;REINO-UNIDO;ACE
BELFAST / INTERNACIONAL;BFS;     S ;2022-03-12;2022-03-19;20:15;73H;  EXS310;REINO-UNIDO;ACE
BERLIN BRANDENBURG;BER;     S ;2022-01-01;2022-03-26;11:25;73H;  RYR3493;ALEMANIA;ACE
BERLIN BRANDENBURG;BER; M    D;2022-02-06;2022-03-15;12:05;320;  EJU5926;ALEMANIA;ACE
BERLIN BRANDENBURG;BER;      D;2022-02-13;2022-03-20;12:10;32A;  EWG8371;ALEMANIA;ACE
BERLIN BRANDENBURG;BER; M     ;2022-03-01;2022-03-22;15:45;32A;  EWG8371;ALEMANIA;ACE
BERLIN BRANDENBURG;BER; M     ;2021-11-02;2022-03-22;16:20;73H;  RYR3493;ALEMANIA;ACE
BILBAO;BIO;      D;2022-02-20;2022-03-20;9:45;320;  VLG3281;ESPANIA;ACE
BILBAO;BIO;L X    ;2022-03-02;2022-03-23;9:45;320;  VLG3281;ESPANIA;ACE
BILBAO;BIO;    V  ;2021-11-05;2022-03-25;13:20;73H;  AEA7029;ESPANIA;ACE
BILBAO;BIO;     S ;2022-02-12;2022-03-26;13:20;73H;  AEA7029;ESPANIA;ACE
BILBAO;BIO;L      ;2022-03-07;2022-03-21;13:20;73H;  AEA7029;ESPANIA;ACE
BILBAO;BIO;     S ;2022-02-19;2022-03-26;13:50;320;  VLG3281;ESPANIA;ACE
BIRMINGHAM / INTERNACIONAL;BHX;    V  ;2022-02-04;2022-03-25;10:45;73H;  RYR1449;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;2022-02-13;2022-03-20;11:10;73H;  EXS1202;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;2021-10-31;2022-03-20;11:30;73H;  RYR1449;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;L      ;2021-11-08;2022-03-21;14:20;73H;  EXS1202;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;   J   ;2021-12-30;2022-03-24;14:20;73H;  EXS1202;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX; M  VS ;2022-01-07;2022-03-26;14:20;73H;  EXS1202;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;  X    ;2022-02-16;2022-03-23;14:20;73H;  EXS1202;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;2022-03-06;2022-03-13;17:55;73H;  EXS1304;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;     S ;2022-02-12;2022-03-26;19:35;73H;  EXS1304;REINO-UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;  X    ;2021-12-08;2022-03-23;19:55;73H;  RYR1449;REINO-UNIDO;ACE
BOLONIA/ GUGLIELMO MARCONI;BLQ;  X    ;2022-02-02;2022-03-23;17:10;7M8;  RYR4896;ITALIA;ACE
BOLONIA/ GUGLIELMO MARCONI;BLQ;     S ;2022-01-01;2022-03-26;18:05;7M8;  RYR4896;ITALIA;ACE
BRATISLAVA/ IVANKA;BTS;     S ;2022-01-01;2022-03-26;16:25;73H;  RYR4996;ESLOVAQUIA;ACE
BRISTOL;BRS;   J   ;2022-02-24;2022-03-24;10:50;320;  EZY6194;REINO-UNIDO;ACE
BRISTOL;BRS; M     ;2021-11-02;2022-03-22;10:55;320;  EZY6194;REINO-UNIDO;ACE
BRISTOL;BRS;     S ;2022-01-01;2022-03-26;11:40;320;  EZY6194;REINO-UNIDO;ACE
BRISTOL;BRS;      D;2021-10-31;2022-03-20;12:45;73H;  RYR4756;REINO-UNIDO;ACE
BRISTOL;BRS; M     ;2022-02-15;2022-03-22;12:45;73H;  EXS1802;REINO-UNIDO;ACE
BRISTOL;BRS;  X    ;2021-11-03;2022-03-23;17:50;73H;  RYR4756;REINO-UNIDO;ACE
BRISTOL;BRS;    V  ;2022-02-04;2022-03-25;17:50;73H;  RYR4756;REINO-UNIDO;ACE
BRISTOL;BRS;L      ;2022-02-07;2022-03-21;18:20;73H;  RYR4756;REINO-UNIDO;ACE
BRISTOL;BRS;   J  D;2022-03-03;2022-03-24;18:45;73H;  EXS1802;REINO-UNIDO;ACE
BRUSELAS;BRU;     S ;2022-02-26;2022-03-19;10:05;73W;  JAF1702;BELGICA;ACE
BRUSELAS;BRU;  X    ;2022-03-02;2022-03-23;10:40;7M8;  JAF1711;BELGICA;ACE
BRUSELAS;BRU;     S ;2021-11-06;2022-03-26;18:15;320;  BEL3788;BELGICA;ACE
BRUSELAS;BRU;   J   ;2021-11-04;2022-03-24;19:15;320;  BEL3788;BELGICA;ACE
BRUSELAS/CHARLEROI;CRL; M     ;2022-03-01;2022-03-22;16:20;7M8;  RYR8175;BELGICA;ACE
BRUSELAS/CHARLEROI;CRL;     S ;2022-01-01;2022-03-26;16:55;73H;  RYR8175;BELGICA;ACE
BURDEOS;BOD;     S ;2021-11-06;2022-03-26;15:05;320;  EJU7472;FRANCIA;ACE
BURDEOS;BOD; M     ;2022-02-08;2022-03-22;17:10;320;  EJU7472;FRANCIA;ACE
BURDEOS;BOD;     S ;2022-02-12;2022-03-26;18:55;319;  VOE2487;FRANCIA;ACE
COLONIA/BONN;CGN;      D;2022-03-06;2022-03-20;10:30;73H;  CXI1072;ALEMANIA;ACE
COLONIA/BONN;CGN;      D;2021-10-31;2022-03-20;11:05;32A;  EWG261;ALEMANIA;ACE
COLONIA/BONN;CGN;  X    ;2022-02-23;2022-03-23;14:30;73H;  CXI1038;ALEMANIA;ACE
COLONIA/BONN;CGN; M     ;2022-03-01;2022-03-22;15:50;73H;  EWG261;ALEMANIA;ACE
COPENHAGUE;CPH;     S ;2022-03-05;2022-03-26;11:05;320;  VLG2232;DINAMARCA;ACE
CORK;ORK; M     ;2021-12-14;2022-03-22;17:25;320;  EIN877;IRLANDA;ACE
CORK;ORK;     S ;2022-01-08;2022-03-26;17:55;320;  EIN877;IRLANDA;ACE
CORK;ORK; M     ;2021-12-07;2022-03-22;20:05;73H;  RYR9944;IRLANDA;ACE
CORK;ORK;     S ;2022-01-01;2022-03-26;20:05;73H;  RYR9944;IRLANDA;ACE
DONCASTER SHEFFIELD ROBIN HOOD;DSA;   J   ;2022-02-10;2022-03-24;11:10;321;  WUK5926;REINO-UNIDO;ACE
DUBLIN;DUB;     S ;2022-03-05;2022-03-26;11:10;7M8;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;      D;2022-01-23;2022-03-20;11:45;320;  EIN777;IRLANDA;ACE
DUBLIN;DUB;    V  ;2022-02-25;2022-03-25;12:00;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;L      ;2021-11-01;2022-03-21;12:05;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;     S ;2022-01-01;2022-03-26;12:10;320;  EIN777;IRLANDA;ACE
DUBLIN;DUB;      D;2022-03-06;2022-03-20;12:25;7M8;  RYR5911;IRLANDA;ACE
DUBLIN;DUB;     S ;2022-01-01;2022-03-26;17:55;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;      D;2021-10-31;2022-03-20;18:45;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB; M JV  ;2021-11-02;2022-03-25;18:50;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;L      ;2022-01-10;2022-03-21;18:50;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;  X    ;2022-02-16;2022-03-23;18:50;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;     S ;2022-03-05;2022-03-26;18:50;7M8;  RYR5911;IRLANDA;ACE
DUBLIN;DUB;  X    ;2021-11-03;2022-03-23;19:15;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;   J   ;2022-02-24;2022-03-24;19:15;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB; M     ;2022-03-01;2022-03-22;19:40;7M8;  RYR7125;IRLANDA;ACE
DUSSELDORF;DUS;   J   ;2022-02-03;2022-03-24;11:35;32A;  EWG9555;ALEMANIA;ACE
DUSSELDORF;DUS;     S ;2022-01-22;2022-03-26;12:30;73H;  CXI4064;ALEMANIA;ACE
DUSSELDORF;DUS; M     ;2022-03-01;2022-03-22;12:30;73H;  CXI4028;ALEMANIA;ACE
DUSSELDORF;DUS;    V  ;2022-03-04;2022-03-25;12:30;320;  CFG1421;ALEMANIA;ACE
DUSSELDORF;DUS; M     ;2022-03-01;2022-03-15;14:55;32B;  CFG1456;ALEMANIA;ACE
DUSSELDORF;DUS;     S ;2021-11-06;2022-03-26;15:10;32A;  EWG9555;ALEMANIA;ACE
DUSSELDORF;DUS;      D;2022-02-20;2022-03-20;17:10;7S8;  TUI2293;ALEMANIA;ACE
EAST MIDLANDS;EMA;L      ;2022-02-07;2022-03-21;11:10;73H;  RYR3173;REINO-UNIDO;ACE
EAST MIDLANDS;EMA;    V  ;2022-02-04;2022-03-25;11:45;73H;  RYR3173;REINO-UNIDO;ACE
EAST MIDLANDS;EMA;     SD;2022-01-09;2022-03-26;15:20;73H;  EXS632;REINO-UNIDO;ACE
EAST MIDLANDS;EMA;L      ;2022-02-14;2022-03-21;15:30;73H;  EXS632;REINO-UNIDO;ACE
EAST MIDLANDS;EMA; M     ;2022-01-18;2022-03-22;15:50;73H;  EXS632;REINO-UNIDO;ACE
EAST MIDLANDS;EMA;   J   ;2021-12-30;2022-03-24;16:00;73H;  EXS632;REINO-UNIDO;ACE
EAST MIDLANDS;EMA;      D;2022-02-06;2022-03-20;19:40;73H;  RYR3173;REINO-UNIDO;ACE
EAST MIDLANDS;EMA;     S ;2022-03-05;2022-03-26;19:40;73H;  RYR8685;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;      D;2022-01-02;2022-03-20;11:25;73H;  RYR6627;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;   J   ;2021-12-23;2022-03-24;12:05;73H;  RYR6627;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;   J   ;2021-11-04;2022-03-24;14:25;73H;  EXS706;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI; M     ;2022-01-18;2022-03-22;14:25;73H;  EXS706;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;     S ;2022-01-08;2022-03-26;14:30;73H;  EXS706;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;      D;2022-01-16;2022-03-20;14:30;73H;  EXS706;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;     S ;2022-01-01;2022-03-26;17:05;320;  EZY6968;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI; M     ;2022-02-01;2022-03-22;19:45;73H;  RYR6627;REINO-UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;  X    ;2022-02-09;2022-03-23;19:45;320;  EZY6968;REINO-UNIDO;ACE
EINDHOVEN;EIN;     S ;2022-01-08;2022-03-26;11:00;73H;  TRA6358;HOLANDA;ACE
EINDHOVEN;EIN;     S ;2021-11-06;2022-03-26;13:05;73H;  TFL593;HOLANDA;ACE
EINDHOVEN;EIN;  X    ;2021-11-10;2022-03-23;15:05;73H;  TFL595;HOLANDA;ACE
ESTRASBURGO /ENTZHEIM;SXB;     S ;2022-02-12;2022-03-26;9:50;319;  VOE2171;FRANCIA;ACE
FRANKFURT/INTERNACIONAL;FRA;    V  ;2021-11-05;2022-03-25;11:15;73H;  RYR1587;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;      D;2022-02-06;2022-03-20;11:15;73H;  RYR1587;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA; M     ;2022-03-08;2022-03-22;12:10;32B;  CFG1402;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;    V  ;2022-03-04;2022-03-25;12:45;75T;  CFG1478;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;   J S ;2022-03-03;2022-03-12;14:05;32A;  OCN309;ALEMANIA;ACE
FRANKFURT/INTERNACIONAL;FRA;  X   D;2022-02-13;2022-03-23;17:25;73H;  TUI2187;ALEMANIA;ACE
GLASGOW /GLASGOW INTERNACIONAL;GLA;   J  D;2021-12-26;2022-03-24;15:00;73H;  EXS168;REINO-UNIDO;ACE
GLASGOW /GLASGOW INTERNACIONAL;GLA;     S ;2022-01-08;2022-03-26;15:00;73H;  EXS168;REINO-UNIDO;ACE
GLASGOW /GLASGOW INTERNACIONAL;GLA; M     ;2022-03-01;2022-03-22;15:00;73H;  EXS168;REINO-UNIDO;ACE
GLASGOW /PRESTWICK;PIK;L      ;2022-02-07;2022-03-21;16:20;73H;  RYR6154;REINO-UNIDO;ACE
GLASGOW /PRESTWICK;PIK;     S ;2022-02-05;2022-03-26;20:30;73H;  RYR6154;REINO-UNIDO;ACE
GRAN CANARIA;LPA;    V  ;2022-01-14;2022-03-25;7:00;AT7;  IBB503;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ SD;2022-03-02;2022-03-26;7:00;AT7;  IBB503;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJVSD;2021-10-31;2022-03-26;8:15;AT7;  CNF704;ESPANIA;ACE
GRAN CANARIA;LPA; MX VSD;2021-10-31;2022-03-26;8:15;AT7;  IBB501;ESPANIA;ACE
GRAN CANARIA;LPA;L      ;2021-12-13;2022-03-21;8:15;AT7;  IBB501;ESPANIA;ACE
GRAN CANARIA;LPA;   J   ;2022-01-13;2022-03-24;8:15;AT7;  IBB501;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJV  ;2022-03-02;2022-03-25;8:45;AT7;  IBB521;ESPANIA;ACE
GRAN CANARIA;LPA;L  JV  ;2021-11-01;2022-03-25;9:30;AT7;  IBB505;ESPANIA;ACE
GRAN CANARIA;LPA;  X  S ;2022-01-08;2022-03-26;9:30;AT7;  IBB505;ESPANIA;ACE
GRAN CANARIA;LPA; M     ;2022-03-08;2022-03-22;9:30;AT7;  IBB505;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJVSD;2022-03-01;2022-03-26;10:45;AT7;  IBB591;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ   ;2022-03-02;2022-03-24;11:15;AT7;  IBB509;ESPANIA;ACE
GRAN CANARIA;LPA;    V  ;2022-01-14;2022-03-25;12:00;AT7;  IBB513;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ SD;2022-03-01;2022-03-26;12:00;AT7;  IBB513;ESPANIA;ACE
GRAN CANARIA;LPA;    V  ;2022-03-04;2022-03-25;12:30;AT7;  IBB515;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJVSD;2021-10-31;2022-03-26;13:15;AT7;  CNF730;ESPANIA;ACE
GRAN CANARIA;LPA;    V  ;2021-12-10;2022-03-25;13:15;AT7;  IBB517;ESPANIA;ACE
GRAN CANARIA;LPA;      D;2022-01-09;2022-03-20;13:15;AT7;  IBB517;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ S ;2022-03-01;2022-03-26;13:15;AT7;  IBB517;ESPANIA;ACE
GRAN CANARIA;LPA;    V  ;2022-01-14;2022-03-25;13:45;AT7;  IBB507;ESPANIA;ACE
GRAN CANARIA;LPA;L      ;2021-11-01;2022-03-21;14:30;AT7;  IBB511;ESPANIA;ACE
GRAN CANARIA;LPA; MXJVSD;2022-03-01;2022-03-26;14:30;AT7;  IBB511;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ  D;2022-03-01;2022-03-24;15:15;AT7;  IBB515;ESPANIA;ACE
GRAN CANARIA;LPA;LM    D;2021-10-31;2022-03-22;15:45;AT7;  IBB519;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJVSD;2021-10-31;2022-03-26;15:45;AT7;  CNF732;ESPANIA;ACE
GRAN CANARIA;LPA;  X    ;2021-12-15;2022-03-23;15:45;AT7;  IBB519;ESPANIA;ACE
GRAN CANARIA;LPA;   JV  ;2022-01-07;2022-03-25;15:45;AT7;  IBB519;ESPANIA;ACE
GRAN CANARIA;LPA;     S ;2022-03-05;2022-03-26;15:45;AT7;  IBB519;ESPANIA;ACE
GRAN CANARIA;LPA;   J  D;2021-10-31;2022-03-24;17:00;AT7;  IBB523;ESPANIA;ACE
GRAN CANARIA;LPA;LM     ;2021-12-13;2022-03-22;17:00;AT7;  IBB523;ESPANIA;ACE
GRAN CANARIA;LPA;  X    ;2022-01-12;2022-03-23;17:00;AT7;  IBB523;ESPANIA;ACE
GRAN CANARIA;LPA;    V  ;2022-02-25;2022-03-25;17:00;AT7;  IBB523;ESPANIA;ACE
GRAN CANARIA;LPA;     S ;2022-03-05;2022-03-26;17:00;AT7;  IBB523;ESPANIA;ACE
GRAN CANARIA;LPA;    V  ;2021-11-05;2022-03-25;18:15;AT7;  IBB525;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ SD;2022-03-01;2022-03-26;18:15;AT7;  IBB525;ESPANIA;ACE
GRAN CANARIA;LPA;   JV D;2022-03-03;2022-03-25;18:45;AT7;  IBB533;ESPANIA;ACE
GRAN CANARIA;LPA;    V  ;2022-01-07;2022-03-25;19:30;AT7;  IBB531;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ SD;2022-03-01;2022-03-26;19:30;AT7;  IBB531;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJVSD;2021-10-31;2022-03-26;20:45;AT7;  CNF784;ESPANIA;ACE
GRAN CANARIA;LPA;    V D;2022-03-04;2022-03-25;20:45;AT7;  IBB535;ESPANIA;ACE
GRAN CANARIA;LPA;     S ;2022-03-05;2022-03-26;21:30;AT7;  IBB537;ESPANIA;ACE
GRAN CANARIA;LPA;LMXJ   ;2022-03-01;2022-03-24;21:45;AT7;  IBB537;ESPANIA;ACE
GRAN CANARIA;LPA;    V D;2022-03-04;2022-03-25;21:55;AT7;  IBB537;ESPANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM;      D;2021-10-31;2022-03-20;11:10;32A;  EWG7089;ALEMANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM;    V  ;2022-02-25;2022-03-25;13:45;320;  CFG1439;ALEMANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM; M     ;2022-02-01;2022-03-22;14:45;32A;  EWG7089;ALEMANIA;ACE
HAMBURGO/ FUHLSBUETTEL;HAM; M     ;2022-03-08;2022-03-15;15:20;320;  CFG1439;ALEMANIA;ACE
HANNOVER;HAJ;    V  ;2022-03-04;2022-03-25;11:45;73H;  CXI2249;ALEMANIA;ACE
HANNOVER;HAJ;  X    ;2022-03-02;2022-03-16;12:15;7S8;  TUI2188;ALEMANIA;ACE
HANNOVER;HAJ; M     ;2022-03-01;2022-03-22;17:35;73H;  CXI2226;ALEMANIA;ACE
HANNOVER;HAJ;      D;2022-02-27;2022-03-20;19:05;7S8;  TUI2189;ALEMANIA;ACE
KATOWICE / PYRZOWICE;KTW;     S ;2022-03-05;2022-03-26;19:00;738;  ENT7502;POLONIA;ACE
LEEDS /LEEDS-BRADFORD;LBA;L   VS ;2022-02-04;2022-03-26;11:10;73H;  RYR2047;REINO-UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA;L   V D;2021-11-01;2022-03-25;15:10;73H;  EXS218;REINO-UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA;     S ;2022-01-08;2022-03-26;15:10;73H;  EXS218;REINO-UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA; M     ;2022-01-18;2022-03-22;15:10;73H;  EXS218;REINO-UNIDO;ACE
LEEDS /LEEDS-BRADFORD;LBA;   J   ;2021-12-30;2022-03-24;15:55;73H;  EXS218;REINO-UNIDO;ACE
LISBOA;LIS;     S ;2022-02-05;2022-03-26;9:20;73H;  RYR3603;PORTUGAL;ACE
LISBOA;LIS;   J   ;2022-02-03;2022-03-24;9:50;73H;  RYR3603;PORTUGAL;ACE
LISBOA;LIS; M     ;2022-02-01;2022-03-22;14:50;73H;  RYR3603;PORTUGAL;ACE
LIVERPOOL /INTERNACIONAL;LPL; M     ;2022-02-01;2022-03-22;11:05;73H;  RYR3812;REINO-UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL;   J   ;2022-02-03;2022-03-24;11:20;73H;  RYR3812;REINO-UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL;     S ;2022-02-05;2022-03-26;11:30;73H;  RYR3812;REINO-UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL;      D;2021-10-31;2022-03-20;11:55;320;  EZY7154;REINO-UNIDO;ACE
LIVERPOOL /INTERNACIONAL;LPL; M     ;2022-02-08;2022-03-22;18:45;320;  EZY7154;REINO-UNIDO;ACE
LONDRES / HEATHROW;LHR;    V  ;2021-12-24;2022-03-25;12:15;320;  BAW2733;REINO-UNIDO;ACE
LONDRES / HEATHROW;LHR;LM     ;2022-02-07;2022-03-22;12:15;320;  BAW2733;REINO-UNIDO;ACE
LONDRES / HEATHROW;LHR;   J   ;2022-03-03;2022-03-24;12:15;320;  BAW2733;REINO-UNIDO;ACE
LONDRES / HEATHROW;LHR;  X    ;2022-03-09;2022-03-09;12:15;320;  BAW2733;REINO-UNIDO;ACE
LONDRES / HEATHROW;LHR;      D;2022-03-13;2022-03-20;13:05;32N;  BAW2733;REINO-UNIDO;ACE
LONDRES / HEATHROW;LHR;     S ;2022-03-12;2022-03-26;13:40;32N;  BAW2733;REINO-UNIDO;ACE
LONDRES /LUTON APT;LTN;   J   ;2022-02-10;2022-03-24;11:50;320;  EZY2026;REINO-UNIDO;ACE
LONDRES /LUTON APT;LTN;L      ;2022-03-07;2022-03-21;17:05;320;  EZY2026;REINO-UNIDO;ACE
LONDRES /LUTON APT;LTN; M     ;2022-02-01;2022-03-22;17:40;73H;  RYR3512;REINO-UNIDO;ACE
LONDRES /LUTON APT;LTN;  X    ;2022-02-09;2022-03-23;17:55;320;  EZY2026;REINO-UNIDO;ACE
LONDRES /LUTON APT;LTN;     S ;2022-02-05;2022-03-26;19:10;73H;  RYR3512;REINO-UNIDO;ACE
LONDRES /LUTON APT;LTN;     S ;2022-01-01;2022-03-26;20:00;320;  EZY2026;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;   J   ;2022-02-03;2022-03-24;11:15;7M8;  RYR8289;REINO-UNIDO;ACE
LONDRES /STANSTED;STN; M     ;2022-02-15;2022-03-22;11:55;7M8;  RYR8289;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;L X    ;2021-11-01;2022-03-23;12:05;7M8;  RYR8289;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;      D;2022-02-06;2022-03-20;12:05;7M8;  RYR8289;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;     S ;2022-01-08;2022-03-26;12:10;73H;  EXS1402;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;     S ;2022-02-12;2022-03-26;12:10;7M8;  RYR8289;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;      D;2022-02-13;2022-03-20;12:10;73H;  EXS1402;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;    V  ;2022-01-07;2022-03-25;12:20;7M8;  RYR8289;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;   J   ;2021-11-04;2022-03-24;15:25;73H;  EXS1402;REINO-UNIDO;ACE
LONDRES /STANSTED;STN;L   V  ;2022-01-10;2022-03-25;15:25;73H;  EXS1402;REINO-UNIDO;ACE
