Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Origen
ALICANTE-ELCHE MIGUEL HDEZ.;ALC;L      ;2021-11-01;2022-03-21;9:05;73H;  RYR4696;ESPANIA;ACE
ALICANTE-ELCHE MIGUEL HDEZ.;ALC;    V  ;2021-12-31;2022-03-25;18:25;73H;  RYR4696;ESPANIA;ACE
AMSTERDAM/SCHIPHOL;AMS;     S ;2022-01-08;2022-03-26;10:30;73H;  TRA5684;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;2021-11-02;2022-03-22;10:50;73H;  TRA5686;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;   J   ;2022-02-17;2022-03-24;10:50;73H;  TRA5686;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;      D;2022-03-13;2022-03-13;11:05;7M8;  TFL686;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;    V  ;2022-02-18;2022-03-25;11:30;320;  VLG8443;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;   J   ;2022-03-03;2022-03-24;11:45;320;  EJU7270;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;     S ;2021-11-06;2022-03-26;12:00;320;  EJU7270;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;2022-02-08;2022-03-22;12:00;320;  EJU7270;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;2022-03-08;2022-03-08;16:20;76W;  TFL533;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;   J   ;2022-02-17;2022-03-10;16:50;76W;  TFL528;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;      D;2022-03-13;2022-03-13;18:15;7M8;  TFL524;HOLANDA;ACE
ASTURIAS;OVD;      D;2022-03-13;2022-03-20;10:20;319;  VOE3551;ESPANIA;ACE
ASTURIAS;OVD;      D;2022-03-06;2022-03-20;12:30;320;  VLG3138;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;L      ;2022-03-07;2022-03-21;10:15;320;  VLG2473;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;  X    ;2021-11-03;2022-03-23;12:45;73H;  RYR8964;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN;   J   ;2022-02-24;2022-03-24;13:15;321;  VLG2473;ESPANIA;ACE
BARCELONA-EL PRAT J.T.;BCN; M  V  ;2022-03-01;2022-03-25;13:15;321;  VLG2473;ESPANIA;ACE
