num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  RYR4896;6;BOLONIA/ GUGLIELMO MARCONI;BLQ;2022-01-01;2022-03-26;18:05;7M8;ITALIA;ACE
  RYR4996;6;BRATISLAVA/ IVANKA;BTS;2022-01-01;2022-03-26;16:25;73H;ESLOVAQUIA;ACE
  EZY6194;4;BRISTOL;BRS;2022-02-24;2022-03-24;10:50;320;REINO-UNIDO;ACE
  EZY6194;2;BRISTOL;BRS;2021-11-02;2022-03-22;10:55;320;REINO-UNIDO;ACE
  EZY6194;6;BRISTOL;BRS;2022-01-01;2022-03-26;11:40;320;REINO-UNIDO;ACE
  RYR4756;7;BRISTOL;BRS;2021-10-31;2022-03-20;12:45;73H;REINO-UNIDO;ACE
  EXS1802;2;BRISTOL;BRS;2022-02-15;2022-03-22;12:45;73H;REINO-UNIDO;ACE
  RYR4756;3;BRISTOL;BRS;2021-11-03;2022-03-23;17:50;73H;REINO-UNIDO;ACE
  RYR4756;5;BRISTOL;BRS;2022-02-04;2022-03-25;17:50;73H;REINO-UNIDO;ACE
  RYR4756;1;BRISTOL;BRS;2022-02-07;2022-03-21;18:20;73H;REINO-UNIDO;ACE
  JAF1702;6;BRUSELAS;BRU;2022-02-26;2022-03-19;10:05;73W;BELGICA;ACE
  JAF1711;3;BRUSELAS;BRU;2022-03-02;2022-03-23;10:40;7M8;BELGICA;ACE
  BEL3788;6;BRUSELAS;BRU;2021-11-06;2022-03-26;18:15;320;BELGICA;ACE
  BEL3788;4;BRUSELAS;BRU;2021-11-04;2022-03-24;19:15;320;BELGICA;ACE
  RYR8175;2;BRUSELAS/CHARLEROI;CRL;2022-03-01;2022-03-22;16:20;7M8;BELGICA;ACE
  RYR8175;6;BRUSELAS/CHARLEROI;CRL;2022-01-01;2022-03-26;16:55;73H;BELGICA;ACE
  EJU7472;6;BURDEOS;BOD;2021-11-06;2022-03-26;15:05;320;FRANCIA;ACE
  EJU7472;2;BURDEOS;BOD;2022-02-08;2022-03-22;17:10;320;FRANCIA;ACE
  VOE2487;6;BURDEOS;BOD;2022-02-12;2022-03-26;18:55;319;FRANCIA;ACE
  CXI1072;7;COLONIA/BONN;CGN;2022-03-06;2022-03-20;10:30;73H;ALEMANIA;ACE
  EWG261;7;COLONIA/BONN;CGN;2021-10-31;2022-03-20;11:05;32A;ALEMANIA;ACE
  CXI1038;3;COLONIA/BONN;CGN;2022-02-23;2022-03-23;14:30;73H;ALEMANIA;ACE
  EWG261;2;COLONIA/BONN;CGN;2022-03-01;2022-03-22;15:50;73H;ALEMANIA;ACE
  VLG2232;6;COPENHAGUE;CPH;2022-03-05;2022-03-26;11:05;320;DINAMARCA;ACE
  EIN877;2;CORK;ORK;2021-12-14;2022-03-22;17:25;320;IRLANDA;ACE
  EIN877;6;CORK;ORK;2022-01-08;2022-03-26;17:55;320;IRLANDA;ACE
  RYR9944;2;CORK;ORK;2021-12-07;2022-03-22;20:05;73H;IRLANDA;ACE
  RYR9944;6;CORK;ORK;2022-01-01;2022-03-26;20:05;73H;IRLANDA;ACE
  WUK5926;4;DONCASTER SHEFFIELD ROBIN HOOD;DSA;2022-02-10;2022-03-24;11:10;321;REINO-UNIDO;ACE
  RYR7125;6;DUBLIN;DUB;2022-03-05;2022-03-26;11:10;7M8;IRLANDA;ACE
  EIN777;7;DUBLIN;DUB;2022-01-23;2022-03-20;11:45;320;IRLANDA;ACE
  RYR7125;5;DUBLIN;DUB;2022-02-25;2022-03-25;12:00;73H;IRLANDA;ACE
  RYR7125;1;DUBLIN;DUB;2021-11-01;2022-03-21;12:05;73H;IRLANDA;ACE
  EIN777;6;DUBLIN;DUB;2022-01-01;2022-03-26;12:10;320;IRLANDA;ACE
  RYR5911;7;DUBLIN;DUB;2022-03-06;2022-03-20;12:25;7M8;IRLANDA;ACE
  EIN779;6;DUBLIN;DUB;2022-01-01;2022-03-26;17:55;320;IRLANDA;ACE
  RYR7125;7;DUBLIN;DUB;2021-10-31;2022-03-20;18:45;73H;IRLANDA;ACE
  EIN779;1;DUBLIN;DUB;2022-01-10;2022-03-21;18:50;320;IRLANDA;ACE
