Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Origen
BILBAO;BIO;     S ;19/02/2022;26/03/2022;13:50;320;  VLG3281;ESPAÑA;ACE
BIRMINGHAM / INTERNACIONAL;BHX;    V  ;04/02/2022;25/03/2022;10:45;73H;  RYR1449;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;13/02/2022;20/03/2022;11:10;73H;  EXS1202;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;31/10/2021;20/03/2022;11:30;73H;  RYR1449;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;L      ;08/11/2021;21/03/2022;14:20;73H;  EXS1202;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;   J   ;30/12/2021;24/03/2022;14:20;73H;  EXS1202;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX; M  VS ;07/01/2022;26/03/2022;14:20;73H;  EXS1202;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;  X    ;16/02/2022;23/03/2022;14:20;73H;  EXS1202;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;06/03/2022;13/03/2022;17:55;73H;  EXS1304;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;     S ;12/02/2022;26/03/2022;19:35;73H;  EXS1304;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;  X    ;08/12/2021;23/03/2022;19:55;73H;  RYR1449;REINO UNIDO;ACE
BOLONIA/ GUGLIELMO MARCONI;BLQ;  X    ;02/02/2022;23/03/2022;17:10;7M8;  RYR4896;ITALIA;ACE
BOLONIA/ GUGLIELMO MARCONI;BLQ;     S ;01/01/2022;26/03/2022;18:05;7M8;  RYR4896;ITALIA;ACE
BRATISLAVA/ IVANKA;BTS;     S ;01/01/2022;26/03/2022;16:25;73H;  RYR4996;ESLOVAQUIA;ACE
BRISTOL;BRS;   J   ;24/02/2022;24/03/2022;10:50;320;  EZY6194;REINO UNIDO;ACE
BRISTOL;BRS; M     ;02/11/2021;22/03/2022;10:55;320;  EZY6194;REINO UNIDO;ACE
BRISTOL;BRS;     S ;01/01/2022;26/03/2022;11:40;320;  EZY6194;REINO UNIDO;ACE
BRISTOL;BRS;      D;31/10/2021;20/03/2022;12:45;73H;  RYR4756;REINO UNIDO;ACE
BRISTOL;BRS; M     ;15/02/2022;22/03/2022;12:45;73H;  EXS1802;REINO UNIDO;ACE
BRISTOL;BRS;  X    ;03/11/2021;23/03/2022;17:50;73H;  RYR4756;REINO UNIDO;ACE
BRISTOL;BRS;    V  ;04/02/2022;25/03/2022;17:50;73H;  RYR4756;REINO UNIDO;ACE
BRISTOL;BRS;L      ;07/02/2022;21/03/2022;18:20;73H;  RYR4756;REINO UNIDO;ACE
BRISTOL;BRS;   J  D;03/03/2022;24/03/2022;18:45;73H;  EXS1802;REINO UNIDO;ACE
BRUSELAS;BRU;     S ;26/02/2022;19/03/2022;10:05;73W;  JAF1702;BELGICA;ACE
BRUSELAS;BRU;  X    ;02/03/2022;23/03/2022;10:40;7M8;  JAF1711;BELGICA;ACE
BRUSELAS;BRU;    V  ;04/03/2022;04/03/2022;10:40;7M8;  JAF1711;BELGICA;ACE
BRUSELAS;BRU;     S ;06/11/2021;26/03/2022;18:15;320;  BEL3788;BELGICA;ACE
BRUSELAS;BRU;   J   ;04/11/2021;24/03/2022;19:15;320;  BEL3788;BELGICA;ACE
BRUSELAS/CHARLEROI;CRL; M     ;01/03/2022;22/03/2022;16:20;7M8;  RYR8175;BELGICA;ACE
BRUSELAS/CHARLEROI;CRL;     S ;01/01/2022;26/03/2022;16:55;73H;  RYR8175;BELGICA;ACE
BURDEOS;BOD;     S ;06/11/2021;26/03/2022;15:05;320;  EJU7472;FRANCIA;ACE
BURDEOS;BOD; M     ;08/02/2022;22/03/2022;17:10;320;  EJU7472;FRANCIA;ACE
BURDEOS;BOD;     S ;12/02/2022;26/03/2022;18:55;319;  VOE2487;FRANCIA;ACE
COLONIA/BONN;CGN;      D;06/03/2022;20/03/2022;10:30;73H;  CXI1072;ALEMANIA;ACE
COLONIA/BONN;CGN;      D;31/10/2021;20/03/2022;11:05;32A;  EWG261;ALEMANIA;ACE
COLONIA/BONN;CGN;  X    ;23/02/2022;23/03/2022;14:30;73H;  CXI1038;ALEMANIA;ACE
COLONIA/BONN;CGN; M     ;01/03/2022;22/03/2022;15:50;73H;  EWG261;ALEMANIA;ACE
COPENHAGUE;CPH;     S ;05/03/2022;26/03/2022;11:05;320;  VLG2232;DINAMARCA;ACE
CORK;ORK; M     ;14/12/2021;22/03/2022;17:25;320;  EIN877;IRLANDA;ACE
CORK;ORK;     S ;08/01/2022;26/03/2022;17:55;320;  EIN877;IRLANDA;ACE
CORK;ORK; M     ;07/12/2021;22/03/2022;20:05;73H;  RYR9944;IRLANDA;ACE
CORK;ORK;     S ;01/01/2022;26/03/2022;20:05;73H;  RYR9944;IRLANDA;ACE
DONCASTER SHEFFIELD ROBIN HOOD;DSA;   J   ;10/02/2022;24/03/2022;11:10;321;  WUK5926;REINO UNIDO;ACE
DUBLIN;DUB;     S ;05/03/2022;26/03/2022;11:10;7M8;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;      D;23/01/2022;20/03/2022;11:45;320;  EIN777;IRLANDA;ACE
DUBLIN;DUB;    V  ;25/02/2022;25/03/2022;12:00;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;L      ;01/11/2021;21/03/2022;12:05;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;     S ;01/01/2022;26/03/2022;12:10;320;  EIN777;IRLANDA;ACE
DUBLIN;DUB;      D;06/03/2022;20/03/2022;12:25;7M8;  RYR5911;IRLANDA;ACE
DUBLIN;DUB;     S ;01/01/2022;26/03/2022;17:55;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;      D;31/10/2021;20/03/2022;18:45;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB; M JV  ;02/11/2021;25/03/2022;18:50;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;L      ;10/01/2022;21/03/2022;18:50;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;  X    ;16/02/2022;23/03/2022;18:50;320;  EIN779;IRLANDA;ACE
DUBLIN;DUB;     S ;05/03/2022;26/03/2022;18:50;7M8;  RYR5911;IRLANDA;ACE
DUBLIN;DUB;  X    ;03/11/2021;23/03/2022;19:15;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB;   J   ;24/02/2022;24/03/2022;19:15;73H;  RYR7125;IRLANDA;ACE
DUBLIN;DUB; M     ;01/03/2022;22/03/2022;19:40;7M8;  RYR7125;IRLANDA;ACE
DUSSELDORF;DUS;   J   ;03/02/2022;24/03/2022;11:35;32A;  EWG9555;ALEMANIA;ACE
DUSSELDORF;DUS;     S ;22/01/2022;26/03/2022;12:30;73H;  CXI4064;ALEMANIA;ACE
DUSSELDORF;DUS; M     ;01/03/2022;22/03/2022;12:30;73H;  CXI4028;ALEMANIA;ACE
DUSSELDORF;DUS;    V  ;04/03/2022;25/03/2022;12:30;320;  CFG1421;ALEMANIA;ACE
DUSSELDORF;DUS; M     ;01/03/2022;15/03/2022;14:55;32B;  CFG1456;ALEMANIA;ACE
DUSSELDORF;DUS;     S ;06/11/2021;26/03/2022;15:10;32A;  EWG9555;ALEMANIA;ACE
DUSSELDORF;DUS;      D;20/02/2022;20/03/2022;17:10;7S8;  TUI2293;ALEMANIA;ACE
EAST MIDLANDS;EMA;L      ;07/02/2022;21/03/2022;11:10;73H;  RYR3173;REINO UNIDO;ACE
EAST MIDLANDS;EMA;    V  ;04/02/2022;25/03/2022;11:45;73H;  RYR3173;REINO UNIDO;ACE
EAST MIDLANDS;EMA;     SD;09/01/2022;26/03/2022;15:20;73H;  EXS632;REINO UNIDO;ACE
EAST MIDLANDS;EMA;L      ;14/02/2022;21/03/2022;15:30;73H;  EXS632;REINO UNIDO;ACE
EAST MIDLANDS;EMA; M     ;18/01/2022;22/03/2022;15:50;73H;  EXS632;REINO UNIDO;ACE
EAST MIDLANDS;EMA;   J   ;30/12/2021;24/03/2022;16:00;73H;  EXS632;REINO UNIDO;ACE
EAST MIDLANDS;EMA;      D;06/02/2022;20/03/2022;19:40;73H;  RYR3173;REINO UNIDO;ACE
EAST MIDLANDS;EMA;     S ;05/03/2022;26/03/2022;19:40;73H;  RYR8685;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;      D;02/01/2022;20/03/2022;11:25;73H;  RYR6627;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;   J   ;23/12/2021;24/03/2022;12:05;73H;  RYR6627;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;   J   ;04/11/2021;24/03/2022;14:25;73H;  EXS706;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI; M     ;18/01/2022;22/03/2022;14:25;73H;  EXS706;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;     S ;08/01/2022;26/03/2022;14:30;73H;  EXS706;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;      D;16/01/2022;20/03/2022;14:30;73H;  EXS706;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;     S ;01/01/2022;26/03/2022;17:05;320;  EZY6968;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI; M     ;01/02/2022;22/03/2022;19:45;73H;  RYR6627;REINO UNIDO;ACE
EDIMBURGO/ TURNHOUSE;EDI;  X    ;09/02/2022;23/03/2022;19:45;320;  EZY6968;REINO UNIDO;ACE
