num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  IBB198;2022-03-13;GRAN CANARIA;LPA;21:30;AT7;ESPANIA;TFN
  IBB190;2022-03-11;GRAN CANARIA;LPA;22:00;AT7;ESPANIA;TFN
  IBB190;2022-03-10;GRAN CANARIA;LPA;22:15;AT7;ESPANIA;TFN
  IBB607;2022-03-09;LA PALMA /STA.CRUZ DE LA PALMA;SPC;8:00;AT7;ESPANIA;TFN
  IBB617;2022-03-09;LA PALMA /STA.CRUZ DE LA PALMA;SPC;11:00;AT7;ESPANIA;TFN
  IBB617;2022-03-13;LA PALMA /STA.CRUZ DE LA PALMA;SPC;11:00;AT7;ESPANIA;TFN
  IBB619;2022-03-11;LA PALMA /STA.CRUZ DE LA PALMA;SPC;13:30;AT7;ESPANIA;TFN
  IBB629;2022-03-13;LA PALMA /STA.CRUZ DE LA PALMA;SPC;14:30;AT7;ESPANIA;TFN
  IBB631;2022-03-13;LA PALMA /STA.CRUZ DE LA PALMA;SPC;15:00;AT7;ESPANIA;TFN
  IBB631;2022-03-09;LA PALMA /STA.CRUZ DE LA PALMA;SPC;15:00;AT7;ESPANIA;TFN
  IBB645;2022-03-11;LA PALMA /STA.CRUZ DE LA PALMA;SPC;15:30;AT7;ESPANIA;TFN
  IBB633;2022-03-12;LA PALMA /STA.CRUZ DE LA PALMA;SPC;16:00;AT7;ESPANIA;TFN
  IBB623;2022-03-12;LA PALMA /STA.CRUZ DE LA PALMA;SPC;17:00;AT7;ESPANIA;TFN
  IBB623;2022-03-09;LA PALMA /STA.CRUZ DE LA PALMA;SPC;17:00;AT7;ESPANIA;TFN
  IBB643;2022-03-13;LA PALMA /STA.CRUZ DE LA PALMA;SPC;19:30;AT7;ESPANIA;TFN
  IBB625;2022-03-11;LA PALMA /STA.CRUZ DE LA PALMA;SPC;19:30;AT7;ESPANIA;TFN
  IBB649;2022-03-12;LA PALMA /STA.CRUZ DE LA PALMA;SPC;20:00;AT7;ESPANIA;TFN
