ocupacion;numero_minimo;encuestas_maximas
15449;400;7416
288;80;139
472;80;227
824;80;396
15268;400;7329
176;80;85
2645;200;1270
1743;200;837
160;80;77
768;80;369
2768;200;1329
304;80;146
152;80;73
1392;200;669
339;80;163
11776;400;5653
386;80;186
880;80;423
1160;200;557
