num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  EXS910;2022-03-07;MANCHESTER /INTERNACIONAL;MAN;15:35;321;REINO-UNIDO;FUE
  IBB415;2022-03-08;TENERIFE NORTE-C. LA LAGUNA;TFN;8:30;AT7;ESPANIA;FUE
  IBB415;2022-03-07;TENERIFE NORTE-C. LA LAGUNA;TFN;8:30;AT7;ESPANIA;FUE
  IBB423;2022-03-08;TENERIFE NORTE-C. LA LAGUNA;TFN;11:30;AT7;ESPANIA;FUE
  IBB423;2022-03-07;TENERIFE NORTE-C. LA LAGUNA;TFN;11:30;AT7;ESPANIA;FUE
  IBB433;2022-03-07;TENERIFE NORTE-C. LA LAGUNA;TFN;14:40;AT7;ESPANIA;FUE
  IBB421;2022-03-08;TENERIFE NORTE-C. LA LAGUNA;TFN;15:30;AT7;ESPANIA;FUE
  IBB421;2022-03-07;TENERIFE NORTE-C. LA LAGUNA;TFN;15:30;AT7;ESPANIA;FUE
  CNF375;2022-03-08;TENERIFE NORTE-C. LA LAGUNA;TFN;16:40;AT7;ESPANIA;FUE
  CNF375;2022-03-07;TENERIFE NORTE-C. LA LAGUNA;TFN;16:40;AT7;ESPANIA;FUE
  IBB427;2022-03-08;TENERIFE NORTE-C. LA LAGUNA;TFN;18:00;AT7;ESPANIA;FUE
  IBB427;2022-03-07;TENERIFE NORTE-C. LA LAGUNA;TFN;18:00;AT7;ESPANIA;FUE
  IBB429;2022-03-08;TENERIFE NORTE-C. LA LAGUNA;TFN;20:40;AT7;ESPANIA;FUE
  IBB429;2022-03-07;TENERIFE NORTE-C. LA LAGUNA;TFN;20:40;AT7;ESPANIA;FUE
