ocupacion;numero_minimo;encuestas_maximas
6840;200;3284
144;80;70
912;80;438
768;80;369
152;80;73
20987;400;10074
176;80;85
3406;200;1635
2558;200;1228
3600;200;1728
1704;200;818
304;80;146
464;80;223
456;80;219
456;80;219
25984;500;12473
152;80;73
80;80;39
312;80;150
720;80;346
