ocupacion;numero_minimo;encuestas_maximas
18287;400;8778
1072;200;515
2464;200;1183
5024;200;2412
51892;600;24909
152;80;73
2672;200;1283
1571;200;755
5208;200;2500
160;80;77
1536;200;738
520;80;250
2208;200;1060
456;80;219
804;80;386
560;80;269
7311;200;3510
616;80;296
612;80;294
14127;400;6781
160;80;77
304;80;146
160;80;77
320;80;154
5960;200;2861
2032;200;976
