;;Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Escala;Origen
W21;Destino;BARCELONA-EL PRAT J.T.;BCN;  X    ;02/03/2022;23/03/2022;13:20;320;  VLG2473;ESPAÑA;;ACE
W21;Destino;BARCELONA-EL PRAT J.T.;BCN;      D;06/03/2022;13/03/2022;13:25;320;  VLG2473;ESPAÑA;;ACE
W21;Destino;BARCELONA-EL PRAT J.T.;BCN;     S ;05/03/2022;26/03/2022;17:30;320;  VLG2473;ESPAÑA;;ACE
W21;Destino;BARCELONA-EL PRAT J.T.;BCN;    V  ;04/03/2022;11/03/2022;17:45;320;  VLG2491;ESPAÑA;;ACE
W21;Destino;BARCELONA-EL PRAT J.T.;BCN;    V  ;31/12/2021;25/03/2022;18:40;73H;  RYR8964;ESPAÑA;;ACE
W21;Destino;BARCELONA-EL PRAT J.T.;BCN;L      ;06/12/2021;21/03/2022;19:55;73H;  RYR8964;ESPAÑA;;ACE
W21;Destino;BARCELONA-EL PRAT J.T.;BCN;      D;06/03/2022;20/03/2022;20:20;320;  VLG2477;ESPAÑA;;ACE
W21;Destino;BASEL/MULHOUSE EUROAIRPORT CH;BSL;  X    ;09/02/2022;23/03/2022;17:25;320;  EZS1250;SUIZA;;ACE
W21;Destino;BASEL/MULHOUSE EUROAIRPORT CH;BSL;     S ;26/02/2022;26/03/2022;17:25;320;  EZS1250;SUIZA;;ACE
W21;Destino;BELFAST / INTERNACIONAL;BFS;   J  D;04/11/2021;24/03/2022;13:50;73H;  EXS310;REINO UNIDO;;ACE
W21;Destino;BELFAST / INTERNACIONAL;BFS; M     ;18/01/2022;22/03/2022;13:50;73H;  EXS310;REINO UNIDO;;ACE
W21;Destino;BELFAST / INTERNACIONAL;BFS; M     ;02/11/2021;22/03/2022;18:30;320;  EZY6732;REINO UNIDO;;ACE
W21;Destino;BELFAST / INTERNACIONAL;BFS;     S ;01/01/2022;26/03/2022;20:10;320;  EZY6732;REINO UNIDO;;ACE
W21;Destino;BELFAST / INTERNACIONAL;BFS;     S ;12/03/2022;19/03/2022;20:15;73H;  EXS310;REINO UNIDO;;ACE
W21;Destino;BERLIN BRANDENBURG;BER;     S ;01/01/2022;26/03/2022;11:25;73H;  RYR3493;ALEMANIA;;ACE
W21;Destino;BERLIN BRANDENBURG;BER; M    D;06/02/2022;15/03/2022;12:05;320;  EJU5926;ALEMANIA;;ACE
W21;Destino;BERLIN BRANDENBURG;BER;      D;13/02/2022;20/03/2022;12:10;32A;  EWG8371;ALEMANIA;;ACE
W21;Destino;BERLIN BRANDENBURG;BER; M     ;01/03/2022;22/03/2022;15:45;32A;  EWG8371;ALEMANIA;;ACE
W21;Destino;BERLIN BRANDENBURG;BER; M     ;02/11/2021;22/03/2022;16:20;73H;  RYR3493;ALEMANIA;;ACE
W21;Destino;BILBAO;BIO;      D;20/02/2022;20/03/2022;9:45;320;  VLG3281;ESPAÑA;;ACE
W21;Destino;BILBAO;BIO;L X    ;02/03/2022;23/03/2022;9:45;320;  VLG3281;ESPAÑA;;ACE
W21;Destino;BILBAO;BIO;    V  ;05/11/2021;25/03/2022;13:20;73H;  AEA7029;ESPAÑA;;ACE
W21;Destino;BILBAO;BIO;     S ;12/02/2022;26/03/2022;13:20;73H;  AEA7029;ESPAÑA;;ACE
W21;Destino;BILBAO;BIO;L      ;07/03/2022;21/03/2022;13:20;73H;  AEA7029;ESPAÑA;;ACE
W21;Destino;BILBAO;BIO;     S ;19/02/2022;26/03/2022;13:50;320;  VLG3281;ESPAÑA;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;    V  ;04/02/2022;25/03/2022;10:45;73H;  RYR1449;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;      D;13/02/2022;20/03/2022;11:10;73H;  EXS1202;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;      D;31/10/2021;20/03/2022;11:30;73H;  RYR1449;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;L      ;08/11/2021;21/03/2022;14:20;73H;  EXS1202;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;   J   ;30/12/2021;24/03/2022;14:20;73H;  EXS1202;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX; M  VS ;07/01/2022;26/03/2022;14:20;73H;  EXS1202;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;  X    ;16/02/2022;23/03/2022;14:20;73H;  EXS1202;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;      D;06/03/2022;13/03/2022;17:55;73H;  EXS1304;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;     S ;12/02/2022;26/03/2022;19:35;73H;  EXS1304;REINO UNIDO;;ACE
W21;Destino;BIRMINGHAM / INTERNACIONAL;BHX;  X    ;08/12/2021;23/03/2022;19:55;73H;  RYR1449;REINO UNIDO;;ACE
W21;Destino;BOLONIA/ GUGLIELMO MARCONI;BLQ;  X    ;02/02/2022;23/03/2022;17:10;7M8;  RYR4896;ITALIA;;ACE
W21;Destino;BOLONIA/ GUGLIELMO MARCONI;BLQ;     S ;01/01/2022;26/03/2022;18:05;7M8;  RYR4896;ITALIA;;ACE
W21;Destino;BRATISLAVA/ IVANKA;BTS;     S ;01/01/2022;26/03/2022;16:25;73H;  RYR4996;ESLOVAQUIA;;ACE
W21;Destino;BRISTOL;BRS;   J   ;24/02/2022;24/03/2022;10:50;320;  EZY6194;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS; M     ;02/11/2021;22/03/2022;10:55;320;  EZY6194;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS;     S ;01/01/2022;26/03/2022;11:40;320;  EZY6194;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS;      D;31/10/2021;20/03/2022;12:45;73H;  RYR4756;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS; M     ;15/02/2022;22/03/2022;12:45;73H;  EXS1802;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS;  X    ;03/11/2021;23/03/2022;17:50;73H;  RYR4756;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS;    V  ;04/02/2022;25/03/2022;17:50;73H;  RYR4756;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS;L      ;07/02/2022;21/03/2022;18:20;73H;  RYR4756;REINO UNIDO;;ACE
W21;Destino;BRISTOL;BRS;   J  D;03/03/2022;24/03/2022;18:45;73H;  EXS1802;REINO UNIDO;;ACE
W21;Destino;BRUSELAS;BRU;     S ;26/02/2022;19/03/2022;10:05;73W;  JAF1702;BELGICA;;ACE
W21;Destino;BRUSELAS;BRU;  X    ;02/03/2022;23/03/2022;10:40;7M8;  JAF1711;BELGICA;FUE;ACE
W21;Destino;BRUSELAS;BRU;    V  ;04/03/2022;04/03/2022;10:40;7M8;  JAF1711;BELGICA;FUE;ACE
W21;Destino;BRUSELAS;BRU;     S ;06/11/2021;26/03/2022;18:15;320;  BEL3788;BELGICA;;ACE
W21;Destino;BRUSELAS;BRU;   J   ;04/11/2021;24/03/2022;19:15;320;  BEL3788;BELGICA;;ACE
W21;Destino;BRUSELAS/CHARLEROI;CRL; M     ;01/03/2022;22/03/2022;16:20;7M8;  RYR8175;BELGICA;;ACE
