;;Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Escala;Origen
W21;Destino;HANNOVER;HAJ;     S ;06/11/2021;26/03/2022;19:15;7S8;  TUI2149;ALEMANIA;;FUE
W21;Destino;HANNOVER;HAJ; M     ;08/02/2022;22/03/2022;20:30;73H;  CXI2228;ALEMANIA;;FUE
W21;Destino;KATOWICE / PYRZOWICE;KTW;L      ;01/11/2021;21/03/2022;15:00;738;  ENT7322;POLONIA;;FUE
W21;Destino;KATOWICE / PYRZOWICE;KTW;      D;13/02/2022;20/03/2022;19:00;321;  WZZ1198;POLONIA;;FUE
W21;Destino;LEEDS /LEEDS-BRADFORD;LBA; M     ;02/11/2021;22/03/2022;14:45;73H;  EXS250;REINO UNIDO;;FUE
W21;Destino;LEEDS /LEEDS-BRADFORD;LBA;   J   ;24/02/2022;24/03/2022;14:45;73H;  EXS250;REINO UNIDO;;FUE
W21;Destino;LEEDS /LEEDS-BRADFORD;LBA;     S ;08/01/2022;26/03/2022;16:45;73H;  EXS250;REINO UNIDO;;FUE
W21;Destino;LEIPZIG;LEJ; M     ;01/03/2022;22/03/2022;14:35;32B;  CFG1461;ALEMANIA;MUC;FUE
W21;Destino;LEIPZIG;LEJ;     S ;05/03/2022;05/03/2022;17:25;32B;  CFG1461;ALEMANIA;;FUE
W21;Destino;LEIPZIG;LEJ;     S ;12/03/2022;26/03/2022;17:35;32B;  CFG1461;ALEMANIA;;FUE
W21;Destino;LISBOA;LIS;      D;30/01/2022;20/03/2022;14:05;319;  TAP1147;PORTUGAL;;FUE
W21;Destino;LISBOA;LIS;   J   ;10/02/2022;24/03/2022;14:05;319;  TAP1147;PORTUGAL;;FUE
W21;Destino;LISBOA;LIS;    V  ;25/02/2022;04/03/2022;14:05;319;  TAP1147;PORTUGAL;;FUE
W21;Destino;LISBOA;LIS;     S ;05/03/2022;12/03/2022;14:05;319;  TAP1147;PORTUGAL;;FUE
W21;Destino;LIVERPOOL /INTERNACIONAL;LPL; M   S ;01/02/2022;26/03/2022;19:30;73H;  RYR4082;REINO UNIDO;;FUE
W21;Destino;LONDRES /LUTON APT;LTN;     S ;05/02/2022;26/03/2022;11:55;73H;  RYR7913;REINO UNIDO;;FUE
W21;Destino;LONDRES /LUTON APT;LTN; M     ;15/02/2022;22/03/2022;12:10;320;  EZY2292;REINO UNIDO;;FUE
W21;Destino;LONDRES /LUTON APT;LTN;   J   ;06/01/2022;24/03/2022;12:30;320;  EZY2292;REINO UNIDO;;FUE
W21;Destino;LONDRES /LUTON APT;LTN;  X    ;02/02/2022;23/03/2022;18:50;73H;  RYR7913;REINO UNIDO;;FUE
W21;Destino;LONDRES /LUTON APT;LTN;    V  ;04/03/2022;11/03/2022;19:10;321;  WUK5122;REINO UNIDO;;FUE
W21;Destino;LONDRES /STANSTED;STN;  X    ;03/11/2021;23/03/2022;11:05;7M8;  RYR8183;REINO UNIDO;;FUE
W21;Destino;LONDRES /STANSTED;STN;      D;02/01/2022;20/03/2022;11:05;7M8;  RYR8183;REINO UNIDO;;FUE
W21;Destino;LONDRES /STANSTED;STN;L   V  ;04/02/2022;25/03/2022;11:05;7M8;  RYR8183;REINO UNIDO;;FUE
W21;Destino;LONDRES /STANSTED;STN;     S ;05/02/2022;26/03/2022;11:55;7M8;  RYR8183;REINO UNIDO;;FUE
W21;Destino;LONDRES /STANSTED;STN;     S ;08/01/2022;26/03/2022;15:00;73H;  EXS1452;REINO UNIDO;;FUE
W21;Destino;LONDRES /STANSTED;STN;  X    ;19/01/2022;23/03/2022;15:00;73H;  EXS1452;REINO UNIDO;;FUE
W21;Destino;LONDRES /STANSTED;STN;    V D;04/03/2022;25/03/2022;15:00;73H;  EXS1452;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW;     S ;01/01/2022;26/03/2022;12:15;320;  EZY8536;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW;      D;13/02/2022;20/03/2022;12:15;320;  EZY8536;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW;    V  ;11/03/2022;25/03/2022;12:15;320;  EZY8536;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW;    V  ;25/02/2022;04/03/2022;15:55;320;  EZY8536;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW;L  J   ;07/02/2022;24/03/2022;18:40;320;  EZY8538;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW;  X    ;02/03/2022;23/03/2022;18:40;320;  EZY8538;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW; M     ;01/03/2022;22/03/2022;18:50;32Q;  EZY8538;REINO UNIDO;;FUE
W21;Destino;LONDRES/GATWICK;LGW;     S ;05/03/2022;19/03/2022;18:55;32Q;  EZY8538;REINO UNIDO;;FUE
W21;Destino;LUXEMBURGO;LUX;   J   ;13/01/2022;10/03/2022;12:00;73W;  LGL750;LUXEMBURGO;;FUE
W21;Destino;LUXEMBURGO;LUX;     S ;18/12/2021;12/03/2022;17:40;73W;  LGL732;LUXEMBURGO;;FUE
W21;Destino;LYON /SATOLAS;LYS;      D;20/02/2022;20/03/2022;10:35;319;  VOE2329;FRANCIA;;FUE
W21;Destino;LYON /SATOLAS;LYS;      D;13/02/2022;20/03/2022;11:45;320;  EJU4440;FRANCIA;;FUE
W21;Destino;LYON /SATOLAS;LYS;  X    ;02/02/2022;23/03/2022;12:00;320;  EJU4440;FRANCIA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD; M     ;01/02/2022;22/03/2022;9:10;73H;  RYR5491;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;LMXJV D;01/03/2022;25/03/2022;11:05;32Q;  IBE3901;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD; MXJV D;31/10/2021;25/03/2022;13:20;73H;  RYR5469;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;     S ;01/01/2022;26/03/2022;13:20;73H;  RYR5469;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;L      ;01/11/2021;21/03/2022;18:50;73H;  RYR5469;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;     SD;05/03/2022;20/03/2022;18:50;320;  IBE3905;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;L XJ   ;02/03/2022;24/03/2022;19:00;320;  IBE3905;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;    V  ;04/03/2022;04/03/2022;19:00;320;  IBE3905;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;   J   ;03/03/2022;24/03/2022;19:30;73H;  RYR5491;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;    V  ;11/03/2022;11/03/2022;20:20;320;  IBE3905;ESPAÑA;;FUE
W21;Destino;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;     S ;05/02/2022;26/03/2022;20:55;73H;  RYR5491;ESPAÑA;;FUE
W21;Destino;MALAGA-COSTA DEL SOL;AGP;      D;27/02/2022;06/03/2022;8:30;320;  VLG3147;ESPAÑA;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;  X   D;02/01/2022;23/03/2022;11:15;73H;  RYR3806;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;     S ;05/02/2022;26/03/2022;11:15;73H;  RYR3806;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;   J   ;03/03/2022;24/03/2022;11:15;73H;  RYR3806;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;    V  ;04/02/2022;25/03/2022;11:35;73H;  RYR3806;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;L      ;07/02/2022;21/03/2022;12:15;73H;  RYR3806;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;  X    ;12/01/2022;23/03/2022;15:35;321;  EXS910;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;L    S ;12/02/2022;26/03/2022;15:35;321;  EXS910;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;    V  ;04/03/2022;11/03/2022;15:35;321;  EXS910;REINO UNIDO;;FUE
W21;Destino;MANCHESTER /INTERNACIONAL;MAN;      D;06/03/2022;20/03/2022;15:35;321;  EXS910;REINO UNIDO;;FUE
W21;Destino;MARSELLA;MRS;      D;06/02/2022;20/03/2022;10:00;320;  VOE2557;FRANCIA;;FUE
W21;Destino;MILAN /MALPENSA;MXP;   J   ;03/02/2022;24/03/2022;11:25;320;  EJU2914;ITALIA;;FUE
W21;Destino;MILAN /MALPENSA;MXP;L      ;14/03/2022;21/03/2022;13:20;7S8;  NOS1620;ITALIA;LPA;FUE
W21;Destino;MILAN /MALPENSA;MXP;L      ;07/03/2022;07/03/2022;15:10;7S8;  NOS1620;ITALIA;;FUE
W21;Destino;MILAN /MALPENSA;MXP;     S ;05/03/2022;19/03/2022;17:50;32Q;  EJU2914;ITALIA;;FUE
W21;Destino;MILAN /MALPENSA;MXP; M     ;01/03/2022;15/03/2022;17:55;320;  EJU2914;ITALIA;;FUE
W21;Destino;MILAN /MALPENSA;MXP;  X    ;09/03/2022;23/03/2022;18:50;320;  EJU2914;ITALIA;;FUE
W21;Destino;MILAN/BERGAMO;BGY; M     ;15/02/2022;22/03/2022;10:35;73H;  RYR8807;ITALIA;;FUE
W21;Destino;MILAN/BERGAMO;BGY;   J   ;03/02/2022;24/03/2022;10:45;7M8;  RYR8807;ITALIA;;FUE
W21;Destino;MILAN/BERGAMO;BGY;     S ;01/01/2022;26/03/2022;11:40;7M8;  RYR8807;ITALIA;;FUE
W21;Destino;MUENSTER;FMO;   J   ;24/02/2022;24/03/2022;18:00;73H;  CXI9018;ALEMANIA;;FUE
W21;Destino;MUENSTER;FMO;      D;20/02/2022;20/03/2022;19:45;73H;  CXI9076;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;      D;06/03/2022;06/03/2022;12:45;32N;  DLH2659;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;     S ;05/03/2022;05/03/2022;12:50;75T;  CFG1412;ALEMANIA;LPA;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;      D;06/03/2022;13/03/2022;13:25;32Q;  DLH1841;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;     S ;05/03/2022;12/03/2022;13:40;32Q;  DLH1841;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;     S ;12/03/2022;26/03/2022;14:30;75T;  CFG1412;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;   J   ;04/11/2021;24/03/2022;16:35;7S8;  TUI2163;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;    V  ;05/11/2021;25/03/2022;16:55;7S8;  TUI2163;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;     S ;13/11/2021;26/03/2022;16:55;7S8;  TUI2163;ALEMANIA;;FUE
W21;Destino;MUNICH /FRANZ JOSEF STRAUSS;MUC;L      ;14/02/2022;21/03/2022;16:55;7S8;  TUI2163;ALEMANIA;;FUE
W21;Destino;NANTES / ATLANTIQUE;NTE;      D;09/01/2022;20/03/2022;9:05;319;  VOE2811;FRANCIA;;FUE
W21;Destino;NANTES / ATLANTIQUE;NTE;     S ;26/02/2022;26/03/2022;10:25;319;  VOE2811;FRANCIA;;FUE
W21;Destino;NANTES / ATLANTIQUE;NTE;     S ;05/02/2022;26/03/2022;15:50;73H;  TVF4634;FRANCIA;;FUE
W21;Destino;NAPOLES;NAP;  X    ;02/02/2022;23/03/2022;12:10;7M8;  RYR5639;ITALIA;;FUE
W21;Destino;NAPOLES;NAP;      D;31/10/2021;20/03/2022;15:50;73H;  RYR5639;ITALIA;;FUE
W21;Destino;NEWCASTLE;NCL;  X    ;29/12/2021;23/03/2022;15:10;73H;  EXS522;REINO UNIDO;;FUE
W21;Destino;NEWCASTLE;NCL;L      ;14/02/2022;21/03/2022;15:10;73H;  EXS522;REINO UNIDO;;FUE
W21;Destino;NEWCASTLE;NCL;     S ;19/02/2022;19/03/2022;18:40;73H;  EXS522;REINO UNIDO;;FUE
W21;Destino;NUREMBERG;NUE;L      ;07/03/2022;07/03/2022;13:40;73H;  CXI2114;ALEMANIA;;FUE
W21;Destino;NUREMBERG;NUE;     S ;26/02/2022;26/03/2022;19:40;73H;  CXI2162;ALEMANIA;;FUE
W21;Destino;PARIS /ORLY;ORY;   J   ;10/02/2022;24/03/2022;9:50;73H;  TVF3291;FRANCIA;;FUE
W21;Destino;PARIS /ORLY;ORY;     S ;06/11/2021;26/03/2022;10:10;73H;  TVF3291;FRANCIA;;FUE
W21;Destino;PARIS /ORLY;ORY; M     ;15/02/2022;22/03/2022;10:40;73H;  TVF3293;FRANCIA;;FUE
W21;Destino;PARIS /ORLY;ORY;     S ;19/02/2022;26/03/2022;10:55;320;  VLG6961;FRANCIA;;FUE
W21;Destino;PARIS/ CHARLES DE GAULLE;CDG; M     ;08/02/2022;22/03/2022;11:50;320;  EJU3860;FRANCIA;;FUE
W21;Destino;PARIS/ CHARLES DE GAULLE;CDG;     S ;26/02/2022;26/03/2022;16:05;320;  EJU3860;FRANCIA;;FUE
W21;Destino;PISA / GALILEO GALILEI;PSA;L      ;07/02/2022;21/03/2022;10:25;73H;  RYR9423;ITALIA;;FUE
W21;Destino;PISA / GALILEO GALILEI;PSA;    V  ;07/01/2022;25/03/2022;18:55;73H;  RYR9423;ITALIA;;FUE
W21;Destino;POZNAN /LAWICA;POZ;L      ;01/11/2021;21/03/2022;14:25;738;  ENT7102;POLONIA;;FUE
W21;Destino;PRAGA /RUZYNE;PRG;      D;31/10/2021;20/03/2022;11:15;319;  EWG4209;REPUBLICA CHECA;;FUE
W21;Destino;PRAGA /RUZYNE;PRG;   J   ;10/02/2022;24/03/2022;11:15;319;  EWG4209;REPUBLICA CHECA;;FUE
W21;Destino;PRAGA /RUZYNE;PRG;      D;06/03/2022;20/03/2022;16:25;7M8;  TVS1211;REPUBLICA CHECA;;FUE
W21;Destino;ROMA / FIUMICINO;FCO;      D;02/01/2022;20/03/2022;9:25;73H;  RYR3031;ITALIA;;FUE
W21;Destino;ROMA / FIUMICINO;FCO;    V  ;04/02/2022;25/03/2022;9:50;73H;  RYR3031;ITALIA;;FUE
W21;Destino;ROMA / FIUMICINO;FCO;  X    ;02/02/2022;23/03/2022;9:55;73H;  RYR3031;ITALIA;;FUE
W21;Destino;ROTTERDAM;RTM; M     ;08/03/2022;22/03/2022;15:40;73H;  TFL621;HOLANDA;;FUE
W21;Destino;ROTTERDAM;RTM;     S ;19/02/2022;26/03/2022;15:50;73H;  TFL629;HOLANDA;;FUE
W21;Destino;SANTIAGO-ROSALÍA DE CASTRO;SCQ;    V  ;04/03/2022;25/03/2022;9:05;73H;  RYR4698;ESPAÑA;;FUE
W21;Destino;SANTIAGO-ROSALÍA DE CASTRO;SCQ;L      ;07/03/2022;21/03/2022;9:25;73H;  RYR4698;ESPAÑA;;FUE
W21;Destino;SANTIAGO-ROSALÍA DE CASTRO;SCQ; M     ;01/03/2022;08/03/2022;19:20;320;  VLG1641;ESPAÑA;;FUE
W21;Destino;SANTIAGO-ROSALÍA DE CASTRO;SCQ;     S ;05/03/2022;12/03/2022;19:50;320;  VLG1641;ESPAÑA;;FUE
W21;Destino;SEVILLA;SVQ;      D;02/01/2022;20/03/2022;8:40;73H;  RYR5913;ESPAÑA;;FUE
W21;Destino;SEVILLA;SVQ;   J   ;04/11/2021;24/03/2022;12:40;73H;  RYR5913;ESPAÑA;;FUE
W21;Destino;SEVILLA;SVQ;     S ;05/03/2022;26/03/2022;14:15;320;  VLG3165;ESPAÑA;;FUE
W21;Destino;SHANNON;SNN;      D;02/01/2022;20/03/2022;11:05;73H;  RYR3369;IRLANDA;;FUE
W21;Destino;STUTTGART/ ECHTERDINGEN;STR;     S ;01/01/2022;26/03/2022;8:30;7S8;  TUI2175;ALEMANIA;;FUE
W21;Destino;STUTTGART/ ECHTERDINGEN;STR;      D;20/02/2022;20/03/2022;10:55;32A;  EWG2247;ALEMANIA;;FUE
W21;Destino;STUTTGART/ ECHTERDINGEN;STR;   J   ;03/03/2022;24/03/2022;11:00;32A;  EWG2247;ALEMANIA;;FUE
W21;Destino;STUTTGART/ ECHTERDINGEN;STR;    V  ;25/02/2022;25/03/2022;16:30;7S8;  TUI2175;ALEMANIA;;FUE
W21;Destino;STUTTGART/ ECHTERDINGEN;STR;L      ;07/03/2022;14/03/2022;16:50;7S8;  TUI2168;ALEMANIA;;FUE
W21;Destino;STUTTGART/ ECHTERDINGEN;STR;  X    ;23/02/2022;23/03/2022;18:00;7S8;  TUI2175;ALEMANIA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;LMXJVSD;31/10/2021;26/03/2022;8:30;AT7;  IBB415;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;LM  V  ;01/11/2021;25/03/2022;11:30;AT7;  IBB423;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;   J SD;08/01/2022;26/03/2022;11:30;AT7;  IBB423;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;  X    ;09/02/2022;23/03/2022;11:30;AT7;  IBB423;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;    V  ;04/03/2022;25/03/2022;12:20;AT7;  IBB419;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;      D;06/03/2022;20/03/2022;13:00;AT7;  IBB417;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;    V  ;04/03/2022;25/03/2022;13:10;AT7;  IBB417;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;L  J   ;03/03/2022;24/03/2022;14:40;AT7;  IBB433;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;      D;06/03/2022;20/03/2022;14:40;AT7;  IBB439;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;    V  ;04/03/2022;25/03/2022;14:50;AT7;  IBB439;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;LM JVSD;31/10/2021;26/03/2022;15:30;AT7;  IBB421;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;  X    ;12/01/2022;23/03/2022;15:30;AT7;  IBB421;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;LMXJ S ;01/11/2021;26/03/2022;16:40;AT7;  CNF375;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;    V  ;07/01/2022;25/03/2022;18:00;AT7;  IBB427;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;LMXJ SD;01/03/2022;26/03/2022;18:00;AT7;  IBB427;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;    V D;14/01/2022;25/03/2022;18:05;AT7;  CNF375;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN; M     ;01/03/2022;01/03/2022;20:20;AT7;  IBB4251;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;LMXJ SD;31/10/2021;26/03/2022;20:40;AT7;  IBB429;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;    V  ;14/01/2022;25/03/2022;20:40;AT7;  IBB429;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;      D;31/10/2021;20/03/2022;21:55;AT7;  IBB425;ESPAÑA;;FUE
W21;Destino;TENERIFE NORTE-C. LA LAGUNA;TFN;    V  ;07/01/2022;25/03/2022;21:55;AT7;  IBB425;ESPAÑA;;FUE
W21;Destino;TOULOUSE /BLAGNAC;TLS;      D;20/02/2022;20/03/2022;9:20;319;  VOE2571;FRANCIA;;FUE
W21;Destino;VALENCIA;VLC;     S ;05/03/2022;26/03/2022;20:10;73H;  RYR4700;ESPAÑA;;FUE
W21;Destino;VERONA /VILLAFRANCA;VRN;L      ;07/03/2022;21/03/2022;11:25;7S8;  NOS1764;ITALIA;;FUE
W21;Destino;VIENA  /INTERNACIONAL;VIE;     S ;01/01/2022;26/03/2022;12:00;320;  RYR7532;AUSTRIA;;FUE
W21;Destino;VIENA  /INTERNACIONAL;VIE;     S ;06/11/2021;26/03/2022;17:05;320;  AUA9502;AUSTRIA;;FUE
W21;Destino;WEEZE;NRN;     S ;01/01/2022;26/03/2022;10:05;73H;  RYR8627;ALEMANIA;;FUE
W21;Destino;WROCLAW /STRACHOWICE;WRO;L      ;31/01/2022;21/03/2022;13:30;738;  ENT5578;POLONIA;;FUE
W21;Destino;ZURICH;ZRH;      D;06/03/2022;20/03/2022;10:40;320;  EDW213;SUIZA;;FUE
W21;Destino;ZURICH;ZRH;   J   ;03/03/2022;24/03/2022;14:00;320;  EDW213;SUIZA;;FUE
W21;Destino;ZURICH;ZRH; M     ;01/03/2022;22/03/2022;16:30;320;  EDW213;SUIZA;;FUE
W21;Destino;A CORUﾑA;LCG;      D;06/03/2022;13/03/2022;15:10;295;  IBB5200;ESPAﾑA;;LPA
W21;Destino;A CORUﾑA;LCG;   J   ;03/03/2022;24/03/2022;15:20;295;  IBB5200;ESPAﾑA;;LPA
W21;Destino;AALBORG;AAL;     S ;12/03/2022;12/03/2022;11:55;7S8;  NOS6654;DINAMARCA;;LPA
W21;Destino;AALBORG;AAL;     S ;05/03/2022;05/03/2022;12:30;7S8;  NOS6654;DINAMARCA;;LPA
W21;Destino;AEROPUERTO INTL. REGIﾓN MURCIA;RMU;     S ;08/01/2022;26/03/2022;8:30;295;  IBB5600;ESPAﾑA;;LPA
W21;Destino;AEROPUERTO INTL. REGIﾓN MURCIA;RMU;   J   ;17/02/2022;24/03/2022;8:30;295;  IBB5600;ESPAﾑA;;LPA
W21;Destino;AEROPUERTO INTL. REGIﾓN MURCIA;RMU; M     ;07/12/2021;22/03/2022;15:10;295;  IBB5600;ESPAﾑA;;LPA
W21;Destino;AGADIR/AL MASSIRA;AGA;     S ;05/03/2022;26/03/2022;13:00;AT7;  IBB6306;MARRUECOS;;LPA
W21;Destino;ALICANTE-ELCHE MIGUEL HDEZ.;ALC; M     ;08/03/2022;22/03/2022;9:25;320;  VLG3201;ESPAﾑA;;LPA
W21;Destino;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;     S ;19/02/2022;26/03/2022;12:55;320;  VLG3201;ESPAﾑA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;      D;19/12/2021;20/03/2022;10:30;73H;  TRA5664;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;     S ;08/01/2022;26/03/2022;10:30;73H;  TRA6456;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;  X    ;02/03/2022;09/03/2022;10:30;73H;  TRA6456;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;    V  ;05/11/2021;25/03/2022;11:40;320;  EJU7962;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;    V  ;24/12/2021;25/03/2022;12:25;7M8;  TFL612;HOLANDA;GRQ;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;  X    ;02/03/2022;02/03/2022;12:25;7M8;  TFL570;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;  X    ;09/03/2022;23/03/2022;12:25;7M8;  TFL560;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;L      ;07/02/2022;21/03/2022;12:30;320;  EJU7962;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;  X    ;09/02/2022;23/03/2022;12:35;320;  EJU7962;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;    V  ;18/02/2022;04/03/2022;13:30;7M8;  TFL634;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;L      ;07/03/2022;21/03/2022;13:30;7M8;  TFL608;HOLANDA;GRQ;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;  X    ;02/03/2022;23/03/2022;14:25;7M8;  TFL552;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;     S ;05/03/2022;12/03/2022;14:30;7M8;  TFL512;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS; M     ;22/02/2022;22/03/2022;15:10;7M8;  TFL566;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS; M     ;01/03/2022;22/03/2022;15:50;320;  EJU7962;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;    V  ;07/01/2022;25/03/2022;16:00;7M8;  TFL610;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;   J   ;03/03/2022;24/03/2022;16:00;7M8;  TFL582;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS; M     ;01/02/2022;22/03/2022;16:10;320;  VLG8441;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;     S ;05/03/2022;12/03/2022;16:40;320;  VLG8441;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;L      ;07/03/2022;21/03/2022;16:50;7M8;  TFL606;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;  X    ;03/11/2021;23/03/2022;17:40;73H;  TRA5664;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;      D;20/02/2022;06/03/2022;17:50;76W;  TFL544;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;   J   ;17/02/2022;24/03/2022;18:10;73H;  TRA5666;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;     S ;12/03/2022;12/03/2022;18:30;7M8;  TFL574;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;L   V  ;01/11/2021;25/03/2022;18:40;73H;  TRA5662;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS; M   S ;15/02/2022;26/03/2022;18:50;73H;  TRA5666;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;      D;13/03/2022;13/03/2022;18:50;788;  TFL544;HOLANDA;;LPA
W21;Destino;AMSTERDAM/SCHIPHOL;AMS;     S ;05/03/2022;05/03/2022;19:45;7M8;  TFL576;HOLANDA;;LPA
W21;Destino;ASTURIAS;OVD;    V  ;03/12/2021;25/03/2022;8:30;295;  IBB5430;ESPAﾑA;;LPA
